"zip","med_inc","pop","party"
"03079",76497,28776,"Democratic"
"03082",82361,1615,"Democratic"
"03084",55000,1366,"Democratic"
"03086",74750,3728,"Democratic"
"03087",113170,13592,"Democratic"
"03101",27143,3049,"Republican"
"03102",50049,31096,"Republican"
"03103",49518,36476,"Republican"
"03104",60468,32798,"Republican"
"03106",81640,13374,"Republican"
"03109",79229,10314,"Republican"
"03110",122517,21203,"Republican"
"03215",73472,247,"Democratic"
"03216",71466,2159,"Democratic"
"03217",39390,2076,"Democratic"
"03218",102917,960,"Republican"
"03220",61174,7430,"Bipartisan"
"03221",62872,2091,"Democratic"
"03222",50453,5353,"Democratic"
"03223",50968,3427,"Bipartisan"
"03224",86838,2318,"Democratic"
"03225",62201,3660,"Republican"
"03226",69861,1117,"Bipartisan"
"03227",54444,925,"Republican"
"03229",81250,5589,"Democratic"
"03230",51094,1231,"Democratic"
"03231",68553,202,"Democratic"
"03233",105341,115,"Democratic"
"03234",73723,4572,"Democratic"
"03235",41828,8562,"Democratic"
"03237",67969,2254,"Republican"
"03238",49125,75,"Democratic"
"03240",46490,1340,"Democratic"
"03241",55833,876,"Democratic"
"03242",64913,4836,"Democratic"
"03243",56667,1085,"Democratic"
"03244",55683,8092,"Democratic"
"03245",62679,2027,"Democratic"
"03246",47757,15963,"Republican"
"03249",63527,7113,"Republican"
"03251",34792,1662,"Democratic"
"03253",57067,6219,"Republican"
"03254",72110,4049,"Republican"
"03255",70455,2090,"Democratic"
"03256",72872,2169,"Republican"
"03257",72159,4455,"Democratic"
"03258",75326,2517,"Democratic"
"03259",59167,368,"Republican"
"03260",73229,809,"Democratic"
"03261",68398,4246,"Bipartisan"
"03262",49583,1231,"Democratic"
"03263",61326,4114,"Democratic"
"03264",42599,7468,"Democratic"
"03266",47130,2163,"Democratic"
"03268",67100,1272,"Democratic"
"03269",65000,2966,"Republican"
"03273",63333,312,"Democratic"
"03275",60470,11437,"Democratic"
"03276",58449,8324,"Bipartisan"
"03278",70385,2952,"Democratic"
"03279",39261,829,"Democratic"
"03280",54500,1123,"Democratic"
"03281",86674,8785,"Democratic"
"03282",44837,902,"Democratic"
"03284",70938,999,"Democratic"
"03285",59191,2479,"Democratic"
"03287",75833,1295,"Democratic"
"03290",81653,4731,"Bipartisan"
"03291",NA,39,"Republican"
"03293",65833,143,"Democratic"
"03301",51848,33008,"Democratic"
"03303",56983,15524,"Democratic"
"03304",104905,7519,"Democratic"
"03307",69679,5334,"Democratic"
"03431",51744,25280,"Democratic"
"03440",64224,2692,"Democratic"
"03441",62188,395,"Democratic"
"03442",58750,1491,"Democratic"
"03443",67266,742,"Democratic"
"03444",64911,1590,"Democratic"
"03445",61875,691,"Democratic"
